frames,dates,mjd,telem_status,expstarts,expstops,airmasses,frieds,tau0,theta0,dimms,dimmtimes,masses,masstimes,masswts0,masswts500,masswts1000,masswts2000,masswts4000,masswts8000,masswts16000,windspds,winddirs,temps,skystrehls,maosstrehls-psd+ncpa-unseen,maos_stds_strehls-psd+ncpa-unseen,skyfwhms,skyempfwhms,maosfwhms-psd+ncpa-unseen,maosempfwhms-psd+ncpa-unseen,maos_stds_fwhms-psd+ncpa-unseen,maos_stds_emp_fwhms-psd+ncpa-unseen,lbwfsfwhms,skyrmswfes,maosrmswfes-psd+ncpa-unseen,maos_stds_rmswfes-psd+ncpa-unseen,lgsrmswfes,totmaoswfe-psd+ncpa-unseen,homaoswfe-psd+ncpa-unseen,ttmaoswfe-psd+ncpa-unseen,DM_fitting_errors
c0118,20100815,55423.31393,False,07:32:03.446,07:32:46.635,1.57879,0.3871431748022424,0.026239703532535408,1.7855522687671845,0.26,7:33:8,0.21,7:32:38,0.3065631328877225,2.5774243998101953e-08,5.291945842163486e-11,1.0213729669460613e-10,0.012064539743792402,0.5031461461331603,0.17822615530602412,1.5433333333333334,130.0,2.5526,0.20834402740001678,nan,nan,56.91895486741579,59.421613790989255,nan,nan,nan,nan,0.949553,423.4752788659415,nan,nan,118.5,nan,nan,nan,602.3622485892957
c0127,20100815,55423.31925,False,07:39:43.419,07:40:26.847,1.59731,0.3871431748022424,0.026668042464470184,1.828033716633811,0.26,7:40:11,0.19,7:39:41,0.41098165771105877,2.2621012019610752e-10,8.184693439822799e-09,8.417758412146063e-08,0.0008719371905740873,0.3989523938004078,0.18919391870947178,0.5144444444444445,127.0,2.5707,0.23971441388130188,nan,nan,56.38862974692308,57.26009980271185,nan,nan,nan,nan,0.940217,404.0988904306154,nan,nan,157.6,nan,nan,nan,602.3622485892957
c0129,20100815,55423.32059,False,07:41:38.631,07:42:21.405,1.60237,0.40262890179433214,0.030882411224414943,2.5331478283929143,0.25,7:41:41,0.11,7:42:44,0.7582162520864898,1.844113003599704e-08,5.707968820665749e-09,1.2850247755242378e-09,1.7562980986663847e-08,0.0705446402964331,0.1712390646199725,0.5144444444444445,120.0,2.5597,0.20253635942935944,nan,nan,58.51010266808391,60.47340542403716,nan,nan,nan,nan,0.937096,427.2745293018638,nan,nan,130.1,nan,nan,nan,582.9929411948972
c0018,20100815,55423.24901,False,05:58:34.626,05:59:17.828,1.53874,0.28759207271023723,0.023712237033655995,2.564668885258745,0.35,5:59:19,0.16,6:10:19,0.7450083615800152,0.0952302907590731,0.021635653777719237,4.611150920965645e-09,0.017041209925307818,0.004134999467170279,0.11694947987956346,0.0,120.0,2.731,0.2466038316488266,nan,nan,54.63980897390734,56.14814735467271,nan,nan,nan,nan,0.966631,400.07054054672597,nan,nan,119.7,nan,nan,nan,771.6789603523199
c0100,20100815,55423.30314,False,07:16:31.111,07:17:14.409,1.54906,0.314553829526822,0.02350392146324937,2.8170774961005156,0.32,7:16:39,0.12,7:17:39,0.8119625634658715,0.01280287878152683,0.04956265952545614,4.0057491945231676e-09,0.004839876145440825,0.006382041089579284,0.1144499769863762,2.057777777777778,111.0,2.5625,0.2698771357536316,nan,nan,54.30817863616186,55.0137244086197,nan,nan,nan,nan,0.92064,386.9701339801381,nan,nan,290.4,nan,nan,nan,716.1515525672409
c0101,20100815,55423.30372,False,07:17:21.053,07:18:04.418,1.5504,0.28759207271023723,0.022825010702564853,2.812692840945406,0.35,7:18:9,0.12,7:17:39,0.8380500275196263,0.011026665245787411,0.04268656015604066,3.450009656447122e-09,0.004168413604278726,0.005496625554339483,0.09857170446991777,2.057777777777778,111.0,2.5602,0.26275569200515747,nan,nan,55.67960380405472,57.26009980271185,nan,nan,nan,nan,0.966518,390.9005799735037,nan,nan,198.8,nan,nan,nan,771.6789603523199
c0102,20100815,55423.3043,False,07:18:11.089,07:18:54.119,1.55177,0.28759207271023723,0.0286166928947386,3.7744357058491835,0.35,7:18:9,0.07,7:19:9,0.9382673618408058,2.238747186265929e-09,4.895171086387442e-09,5.747231582652832e-10,1.9714340893983554e-10,1.1945554016269696e-08,0.061732618307855286,2.057777777777778,110.0,2.5671,0.2517489194869995,nan,nan,55.96199031266723,53.85541101182941,nan,nan,nan,nan,0.903885,397.1091161739247,nan,nan,175.7,nan,nan,nan,771.6789603523199
c0103,20100815,55423.30492,False,07:19:00.952,07:19:48.017,1.55328,0.3871431748022424,0.03261171272187671,3.771594713168369,0.26,7:19:39,0.07,7:19:9,0.8986852529809113,3.6742007401549574e-09,8.033886693025393e-09,9.432276526964964e-10,3.235490204017052e-10,1.9604877083662648e-08,0.10131471443934753,2.057777777777778,121.0,2.5498,0.2278342992067337,nan,nan,56.04750308041824,57.26009980271185,nan,nan,nan,nan,0.879116,411.2264345193146,nan,nan,147.6,nan,nan,nan,602.3622485892957
c0104,20100815,55423.30549,False,07:19:54.685,07:20:37.576,1.55469,0.3871431748022424,0.035878465840029655,3.8285005280762805,0.26,7:19:39,0.07,7:20:39,0.9014271694888224,1.3600026620275068e-08,1.3188735492645782e-08,3.989523938004077e-09,1.4669383552111214e-09,2.4677467657757185e-08,0.09857277358848564,1.5433333333333334,123.0,2.5611,0.19865375757217407,nan,nan,58.36720208641249,62.5239307760551,nan,nan,nan,nan,0.917489,429.85632869217966,nan,nan,168.1,nan,nan,nan,602.3622485892957
c0105,20100815,55423.30621,False,07:20:56.274,07:21:39.056,1.55649,0.4376401106460132,0.03702118838031427,3.822329197533452,0.23,7:21:8,0.07,7:20:39,0.8790795520403917,1.6683312254077745e-08,1.6178776601232652e-08,4.893995832597403e-09,1.7995104951474989e-09,3.027213917070559e-08,0.12092037813187399,1.5433333333333334,127.0,2.5494,0.2178332507610321,nan,nan,54.79780640476852,56.14814735467271,nan,nan,nan,nan,0.907832,417.4197324639448,nan,nan,144.2,nan,nan,nan,543.8592079446559
c0106,20100815,55423.30678,False,07:21:45.771,07:22:28.849,1.55797,0.3871431748022424,0.03307705750144992,3.4204912860401206,0.26,7:22:39,0.07,7:23:39,0.8816852076972375,7.677434382413345e-09,6.5669483378142724e-09,1.3353251943697496e-09,6.292754252728081e-10,2.837908780642076e-08,0.11831474771469139,1.5433333333333334,120.0,2.5497,0.22999322414398193,nan,nan,54.82943275418754,55.0137244086197,nan,nan,nan,nan,0.975054,409.9133109621238,nan,nan,153.9,nan,nan,nan,602.3622485892957
c0107,20100815,55423.30736,False,07:22:35.555,07:23:18.573,1.55948,0.3871431748022424,0.035334566905251,3.4151936829125114,0.26,7:22:39,0.07,7:23:39,0.8816852076972375,7.677434382413345e-09,6.5669483378142724e-09,1.3353251943697496e-09,6.292754252728081e-10,2.837908780642076e-08,0.11831474771469139,1.028888888888889,118.0,2.5549,0.24201536178588867,nan,nan,52.805290429534416,53.85541101182941,nan,nan,nan,nan,0.903944,402.74525459621384,nan,nan,172.9,nan,nan,nan,602.3622485892957
c0108,20100815,55423.30793,False,07:23:25.216,07:24:08.547,1.56102,0.3355240848286102,0.034576605153282765,3.4088188026412336,0.3,7:24:9,0.07,7:23:39,0.9067907097332173,6.048341005605892e-09,5.173491681580755e-09,1.051979310617882e-09,4.957479502809114e-10,2.2357260502864637e-08,0.09320925513996223,1.028888888888889,118.0,2.5559,nan,nan,nan,nan,56.14814735467271,nan,nan,nan,nan,0.942025,nan,nan,nan,193.5,nan,nan,nan,678.6528357228245
c0109,20100815,55423.30851,False,07:24:15.247,07:24:58.433,1.56259,0.3355240848286102,0.029574627120912838,3.4887405009468777,0.3,7:24:9,0.07,7:25:8,0.9105709235659206,2.775756497215561e-09,7.657631737454602e-09,1.5012846424628908e-09,5.627117257001194e-10,2.192523614532136e-08,0.08942904201145854,2.057777777777778,111.0,2.5638,0.23457030951976776,nan,nan,55.48072780857028,57.26009980271185,nan,nan,nan,nan,0.964625,407.15601722662575,nan,nan,183.2,nan,nan,nan,678.6528357228245
